sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"ZNF148","Approved symbol","ZNF148","zinc finger protein 148","HGNC:12933","3q21.2"
"FBXO38","Approved symbol","FBXO38","F-box protein 38","HGNC:28844","5q32"
"ARNT","Approved symbol","ARNT","aryl hydrocarbon receptor nuclear translocator","HGNC:700","1q21.3"
"SLC12A2","Approved symbol","SLC12A2","solute carrier family 12 member 2","HGNC:10911","5q23.3"
"CADM4","Approved symbol","CADM4","cell adhesion molecule 4","HGNC:30825","19q13.31"
"QSER1","Approved symbol","QSER1","glutamine and serine rich 1","HGNC:26154","11p13"
"PDS5B","Approved symbol","PDS5B","PDS5 cohesin associated factor B","HGNC:20418","13q13.1"
"PSMD13","Approved symbol","PSMD13","proteasome 26S subunit, non-ATPase 13","HGNC:9558","11p15.5"
"RCC2","Approved symbol","RCC2","regulator of chromosome condensation 2","HGNC:30297","1p36.13"
"TTC28","Approved symbol","TTC28","tetratricopeptide repeat domain 28","HGNC:29179","22q12.1"
"STC2","Approved symbol","STC2","stanniocalcin 2","HGNC:11374","5q35.2"
"SERPINB9","Approved symbol","SERPINB9","serpin family B member 9","HGNC:8955","6p25.2"
"ARL8A","Approved symbol","ARL8A","ADP ribosylation factor like GTPase 8A","HGNC:25192","1q32.1"
"ZNRF3","Approved symbol","ZNRF3","zinc and ring finger 3","HGNC:18126","22q12.1"
"ADPRHL1","Approved symbol","ADPRHL1","ADP-ribosylhydrolase like 1","HGNC:21303","13q34"
"DDX5","Approved symbol","DDX5","DEAD-box helicase 5","HGNC:2746","17q23.3"
"CLUH","Approved symbol","CLUH","clustered mitochondria homolog","HGNC:29094","17p13.3"
"NEUROD2","Approved symbol","NEUROD2","neuronal differentiation 2","HGNC:7763","17q12"
"FLT1","Approved symbol","FLT1","fms related receptor tyrosine kinase 1","HGNC:3763","13q12.3"
"ACTA2","Approved symbol","ACTA2","actin alpha 2, smooth muscle","HGNC:130","10q23.31"
"SNX25","Approved symbol","SNX25","sorting nexin 25","HGNC:21883","4q35.1"
"BEND3","Approved symbol","BEND3","BEN domain containing 3","HGNC:23040","6q21"
"MDGA2","Approved symbol","MDGA2","MAM domain containing glycosylphosphatidylinositol anchor 2","HGNC:19835","14q21.3"
"POGK","Approved symbol","POGK","pogo transposable element derived with KRAB domain","HGNC:18800","1q24.1"
"FAM208A","Previous symbol","TASOR","transcription activation suppressor","HGNC:30314","3p14.3"
"ADAM10","Approved symbol","ADAM10","ADAM metallopeptidase domain 10","HGNC:188","15q21.3"
"METTL3","Approved symbol","METTL3","methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit","HGNC:17563","14q11.2"
"ASXL3","Approved symbol","ASXL3","ASXL transcriptional regulator 3","HGNC:29357","18q12.1"
"ZNF512","Approved symbol","ZNF512","zinc finger protein 512","HGNC:29380","2p23.3"
"GFRA4","Approved symbol","GFRA4","GDNF family receptor alpha 4","HGNC:13821","20p13"
"GMEB1","Approved symbol","GMEB1","glucocorticoid modulatory element binding protein 1","HGNC:4370","1p35.3"
"ONECUT2","Approved symbol","ONECUT2","one cut homeobox 2","HGNC:8139","18q21.31"
"SIPA1L1","Approved symbol","SIPA1L1","signal induced proliferation associated 1 like 1","HGNC:20284","14q24.2"
"MITF","Approved symbol","MITF","melanocyte inducing transcription factor","HGNC:7105","3p13"
"SETX","Approved symbol","SETX","senataxin","HGNC:445","9q34.13"
"MTMR3","Approved symbol","MTMR3","myotubularin related protein 3","HGNC:7451","22q12.2"
"SQSTM1","Approved symbol","SQSTM1","sequestosome 1","HGNC:11280","5q35.3"
"C6orf62","Approved symbol","C6orf62","chromosome 6 open reading frame 62","HGNC:20998","6p22.3"
"DESI2","Approved symbol","DESI2","desumoylating isopeptidase 2","HGNC:24264","1q44"
"KLHL29","Approved symbol","KLHL29","kelch like family member 29","HGNC:29404","2p24.1"
"AHR","Approved symbol","AHR","aryl hydrocarbon receptor","HGNC:348","7p21.1"
"FAM49B","Previous symbol","CYRIB","CYFIP related Rac1 interactor B","HGNC:25216","8q24.21"
"PGM1","Approved symbol","PGM1","phosphoglucomutase 1","HGNC:8905","1p31.3"
"APC","Approved symbol","APC","APC regulator of WNT signaling pathway","HGNC:583","5q22.2"
"SIX6","Approved symbol","SIX6","SIX homeobox 6","HGNC:10892","14q23.1"
"CYP26B1","Approved symbol","CYP26B1","cytochrome P450 family 26 subfamily B member 1","HGNC:20581","2p13.2"
"FIGN","Approved symbol","FIGN","fidgetin, microtubule severing factor","HGNC:13285","2q24.3"
"TMEM204","Approved symbol","TMEM204","transmembrane protein 204","HGNC:14158","16p13.3"
"BCL9L","Approved symbol","BCL9L","BCL9 like","HGNC:23688","11q23.3"
"HIF1A","Approved symbol","HIF1A","hypoxia inducible factor 1 subunit alpha","HGNC:4910","14q23.2"
"NCSTN","Approved symbol","NCSTN","nicastrin","HGNC:17091","1q23.2"
"DROSHA","Approved symbol","DROSHA","drosha ribonuclease III","HGNC:17904","5p13.3"
"C7orf55-LUC7L2","Previous symbol","FMC1-LUC7L2","FMC1-LUC7L2 readthrough","HGNC:44671","7q34"
"SERBP1","Approved symbol","SERBP1","SERPINE1 mRNA binding protein 1","HGNC:17860","1p31.3"
"FOXG1","Approved symbol","FOXG1","forkhead box G1","HGNC:3811","14q12"
"TCF20","Approved symbol","TCF20","transcription factor 20","HGNC:11631","22q13.2"
"RSF1","Approved symbol","RSF1","remodeling and spacing factor 1","HGNC:18118","11q14.1"
"CHAMP1","Approved symbol","CHAMP1","chromosome alignment maintaining phosphoprotein 1","HGNC:20311","13q34"
"CDKN2AIP","Approved symbol","CDKN2AIP","CDKN2A interacting protein","HGNC:24325","4q35.1"
"SESTD1","Approved symbol","SESTD1","SEC14 and spectrin domain containing 1","HGNC:18379","2q31.2"
"PPP2CB","Approved symbol","PPP2CB","protein phosphatase 2 catalytic subunit beta","HGNC:9300","8p12"
"TRIB1","Approved symbol","TRIB1","tribbles pseudokinase 1","HGNC:16891","8q24.13"
"CREBZF","Approved symbol","CREBZF","CREB/ATF bZIP transcription factor","HGNC:24905","11q14.1"
"PPP2R5E","Approved symbol","PPP2R5E","protein phosphatase 2 regulatory subunit B'epsilon","HGNC:9313","14q23.2"
"PHF19","Approved symbol","PHF19","PHD finger protein 19","HGNC:24566","9q33.2"
"NAV3","Approved symbol","NAV3","neuron navigator 3","HGNC:15998","12q21.2"
"MCF2L","Approved symbol","MCF2L","MCF.2 cell line derived transforming sequence like","HGNC:14576","13q34"
"RPS15A","Approved symbol","RPS15A","ribosomal protein S15a","HGNC:10389","16p12.3"
"GRID2","Approved symbol","GRID2","glutamate ionotropic receptor delta type subunit 2","HGNC:4576","4q22.1-q22.2"
"KCNH3","Approved symbol","KCNH3","potassium voltage-gated channel subfamily H member 3","HGNC:6252","12q13.12"
"C11orf30","Previous symbol","EMSY","EMSY transcriptional repressor, BRCA2 interacting","HGNC:18071","11q13.5"
"TNNT3","Approved symbol","TNNT3","troponin T3, fast skeletal type","HGNC:11950","11p15.5"
"GPX4","Approved symbol","GPX4","glutathione peroxidase 4","HGNC:4556","19p13.3"
"RPL5","Approved symbol","RPL5","ribosomal protein L5","HGNC:10360","1p22.1"
"IGFBP3","Approved symbol","IGFBP3","insulin like growth factor binding protein 3","HGNC:5472","7p12.3"
"IRS2","Approved symbol","IRS2","insulin receptor substrate 2","HGNC:6126","13q34"
"SRPK2","Approved symbol","SRPK2","SRSF protein kinase 2","HGNC:11306","7q22.3"
"DPYSL3","Approved symbol","DPYSL3","dihydropyrimidinase like 3","HGNC:3015","5q32"
"SCRIB","Approved symbol","SCRIB","scribble planar cell polarity protein","HGNC:30377","8q24.3"
"FOXI2","Approved symbol","FOXI2","forkhead box I2","HGNC:32448","10q26.2"
"ACTC1","Approved symbol","ACTC1","actin alpha cardiac muscle 1","HGNC:143","15q14"
"NPAT","Approved symbol","NPAT","nuclear protein, coactivator of histone transcription","HGNC:7896","11q22.3"
"UBE2R2","Approved symbol","UBE2R2","ubiquitin conjugating enzyme E2 R2","HGNC:19907","9p13.3"
"TULP4","Approved symbol","TULP4","TUB like protein 4","HGNC:15530","6q25.3"
"MGAT4B","Approved symbol","MGAT4B","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B","HGNC:7048","5q35.3"
"ZFYVE9","Approved symbol","ZFYVE9","zinc finger FYVE-type containing 9","HGNC:6775","1p32.3"
"KANSL3","Approved symbol","KANSL3","KAT8 regulatory NSL complex subunit 3","HGNC:25473","2q11.2"
"STIM1","Approved symbol","STIM1","stromal interaction molecule 1","HGNC:11386","11p15.4"
"PTPN9","Approved symbol","PTPN9","protein tyrosine phosphatase non-receptor type 9","HGNC:9661","15q24.2"
"KDM3A","Approved symbol","KDM3A","lysine demethylase 3A","HGNC:20815","2p11.2"
"EIF2AK1","Approved symbol","EIF2AK1","eukaryotic translation initiation factor 2 alpha kinase 1","HGNC:24921","7p22.1"
"DLC1","Approved symbol","DLC1","DLC1 Rho GTPase activating protein","HGNC:2897","8p22"
"FGF14","Approved symbol","FGF14","fibroblast growth factor 14","HGNC:3671","13q33.1"
"EIF4B","Approved symbol","EIF4B","eukaryotic translation initiation factor 4B","HGNC:3285","12q13.13"
"GAPVD1","Approved symbol","GAPVD1","GTPase activating protein and VPS9 domains 1","HGNC:23375","9q33.3"
"NPTN","Approved symbol","NPTN","neuroplastin","HGNC:17867","15q24.1"
"C9orf163","Approved symbol","C9orf163","chromosome 9 putative open reading frame 163","HGNC:26718","9q34.3"
"NRXN3","Approved symbol","NRXN3","neurexin 3","HGNC:8010","14q24.3-q31.1"
"RPSA","Approved symbol","RPSA","ribosomal protein SA","HGNC:6502","3p22.1"
"ELFN1","Approved symbol","ELFN1","extracellular leucine rich repeat and fibronectin type III domain containing 1","HGNC:33154","7p22.3"
"CELF4","Approved symbol","CELF4","CUGBP Elav-like family member 4","HGNC:14015","18q12.2"
"LINC00908","Approved symbol","LINC00908","long intergenic non-protein coding RNA 908","HGNC:27599","18q23"
"NAA35","Approved symbol","NAA35","N-alpha-acetyltransferase 35, NatC auxiliary subunit","HGNC:24340","9q21.33"
"DUSP28","Approved symbol","DUSP28","dual specificity phosphatase 28","HGNC:33237","2q37.3"
"SLC4A7","Approved symbol","SLC4A7","solute carrier family 4 member 7","HGNC:11033","3p24.1"
"NUCKS1","Approved symbol","NUCKS1","nuclear casein kinase and cyclin dependent kinase substrate 1","HGNC:29923","1q32.1"
"STX16","Approved symbol","STX16","syntaxin 16","HGNC:11431","20q13.32"
"MLLT1","Approved symbol","MLLT1","MLLT1 super elongation complex subunit","HGNC:7134","19p13.3"
"ATN1","Approved symbol","ATN1","atrophin 1","HGNC:3033","12p13.31"
"BAI1","Previous symbol","ADGRB1","adhesion G protein-coupled receptor B1","HGNC:943","8q24.3"
"IL1RAP","Approved symbol","IL1RAP","interleukin 1 receptor accessory protein","HGNC:5995","3q28"
"INPP4B","Approved symbol","INPP4B","inositol polyphosphate-4-phosphatase type II B","HGNC:6075","4q31.21"
"ZNF609","Approved symbol","ZNF609","zinc finger protein 609","HGNC:29003","15q22.1"
"ARF1","Approved symbol","ARF1","ADP ribosylation factor 1","HGNC:652","1q42.13"
"NAA15","Approved symbol","NAA15","N-alpha-acetyltransferase 15, NatA auxiliary subunit","HGNC:30782","4q31.1"
"RB1CC1","Approved symbol","RB1CC1","RB1 inducible coiled-coil 1","HGNC:15574","8q11.23"
"TM9SF3","Approved symbol","TM9SF3","transmembrane 9 superfamily member 3","HGNC:21529","10q24.1"
"CELF3","Approved symbol","CELF3","CUGBP Elav-like family member 3","HGNC:11967","1q21.3"
"STIM2","Approved symbol","STIM2","stromal interaction molecule 2","HGNC:19205","4p15.2"
"AC097381.1","Unmatched","","","",""
"LCE2A","Approved symbol","LCE2A","late cornified envelope 2A","HGNC:29469","1q21.3"
"KLF11","Approved symbol","KLF11","KLF transcription factor 11","HGNC:11811","2p25.1"
"ACVR1B","Approved symbol","ACVR1B","activin A receptor type 1B","HGNC:172","12q13.13"
"ETV1","Approved symbol","ETV1","ETS variant transcription factor 1","HGNC:3490","7p21.2"
"PTK7","Approved symbol","PTK7","protein tyrosine kinase 7 (inactive)","HGNC:9618","6p21.1"
"PRDM11","Approved symbol","PRDM11","PR/SET domain 11","HGNC:13996","11p11.2"
"CEP350","Approved symbol","CEP350","centrosomal protein 350","HGNC:24238","1q25.2"
"MRTFB","Approved symbol","MRTFB","myocardin related transcription factor B","HGNC:29819","16p13.12"
"SLC6A1","Approved symbol","SLC6A1","solute carrier family 6 member 1","HGNC:11042","3p25.3"
"MAPK8IP3","Approved symbol","MAPK8IP3","mitogen-activated protein kinase 8 interacting protein 3","HGNC:6884","16p13.3"
"FAT4","Approved symbol","FAT4","FAT atypical cadherin 4","HGNC:23109","4q28.1"
"KLF3","Approved symbol","KLF3","KLF transcription factor 3","HGNC:16516","4p14"
"MAPK8","Approved symbol","MAPK8","mitogen-activated protein kinase 8","HGNC:6881","10q11.22"
"ADARB2","Approved symbol","ADARB2","adenosine deaminase RNA specific B2 (inactive)","HGNC:227","10p15.3"
"ERC2","Approved symbol","ERC2","ELKS/RAB6-interacting/CAST family member 2","HGNC:31922","3p14.3"
"FBXO45","Approved symbol","FBXO45","F-box protein 45","HGNC:29148","3q29"
"RIF1","Approved symbol","RIF1","replication timing regulatory factor 1","HGNC:23207","2q23.3"
"RAP1GAP","Approved symbol","RAP1GAP","RAP1 GTPase activating protein","HGNC:9858","1p36.12"
"MAP2K4","Approved symbol","MAP2K4","mitogen-activated protein kinase kinase 4","HGNC:6844","17p12"
"FAM171A1","Approved symbol","FAM171A1","family with sequence similarity 171 member A1","HGNC:23522","10p13"
"GRK5","Approved symbol","GRK5","G protein-coupled receptor kinase 5","HGNC:4544","10q26.11"
"FARP1","Approved symbol","FARP1","FERM, ARH/RhoGEF and pleckstrin domain protein 1","HGNC:3591","13q32.2"
"ITGB1","Approved symbol","ITGB1","integrin subunit beta 1","HGNC:6153","10p11.22"
"GTF2I","Approved symbol","GTF2I","general transcription factor IIi","HGNC:4659","7q11.23"
"HEY2","Approved symbol","HEY2","hes related family bHLH transcription factor with YRPW motif 2","HGNC:4881","6q22.31"
"EIF2S2","Approved symbol","EIF2S2","eukaryotic translation initiation factor 2 subunit beta","HGNC:3266","20q11.22"
"CYB5A","Approved symbol","CYB5A","cytochrome b5 type A","HGNC:2570","18q22.3"
"SMNDC1","Approved symbol","SMNDC1","survival motor neuron domain containing 1","HGNC:16900","10q25.2"
"ATP5B","Previous symbol","ATP5F1B","ATP synthase F1 subunit beta","HGNC:830","12q13.3"
"DNM1","Approved symbol","DNM1","dynamin 1","HGNC:2972","9q34.11"
"CTNND2","Approved symbol","CTNND2","catenin delta 2","HGNC:2516","5p15.2"
"FAM193A","Approved symbol","FAM193A","family with sequence similarity 193 member A","HGNC:16822","4p16.3"
"FAM43A","Approved symbol","FAM43A","family with sequence similarity 43 member A","HGNC:26888","3q29"
"MRPL54","Approved symbol","MRPL54","mitochondrial ribosomal protein L54","HGNC:16685","19p13.3"
"RPL7","Approved symbol","RPL7","ribosomal protein L7","HGNC:10363","8q21.11"
"NFATC4","Approved symbol","NFATC4","nuclear factor of activated T cells 4","HGNC:7778","14q12"
"NPLOC4","Approved symbol","NPLOC4","NPL4 homolog, ubiquitin recognition factor","HGNC:18261","17q25.3"
"RAB14","Approved symbol","RAB14","RAB14, member RAS oncogene family","HGNC:16524","9q33.2"
"ZMIZ1","Approved symbol","ZMIZ1","zinc finger MIZ-type containing 1","HGNC:16493","10q22.3"
"AZIN1","Approved symbol","AZIN1","antizyme inhibitor 1","HGNC:16432","8q22.3"
"ARCN1","Approved symbol","ARCN1","archain 1","HGNC:649","11q23.3"
"NDOR1","Approved symbol","NDOR1","NADPH dependent diflavin oxidoreductase 1","HGNC:29838","9q34.3"
"E2F8","Approved symbol","E2F8","E2F transcription factor 8","HGNC:24727","11p15.1"
"SCUBE1","Approved symbol","SCUBE1","signal peptide, CUB domain and EGF like domain containing 1","HGNC:13441","22q13.2"
"OSR2","Approved symbol","OSR2","odd-skipped related transciption factor 2","HGNC:15830","8q22.2"
"IL32","Approved symbol","IL32","interleukin 32","HGNC:16830","16p13.3"
"RYR3","Approved symbol","RYR3","ryanodine receptor 3","HGNC:10485","15q13.3-q14"
"KIF3B","Approved symbol","KIF3B","kinesin family member 3B","HGNC:6320","20q11.21"
"ATP13A3","Approved symbol","ATP13A3","ATPase 13A3","HGNC:24113","3q29"
"USP3","Approved symbol","USP3","ubiquitin specific peptidase 3","HGNC:12626","15q22.31"
"C2CD2L","Approved symbol","C2CD2L","C2CD2 like","HGNC:29000","11q23.3"
"FERMT2","Approved symbol","FERMT2","FERM domain containing kindlin 2","HGNC:15767","14q22.1"
"MAP3K8","Approved symbol","MAP3K8","mitogen-activated protein kinase kinase kinase 8","HGNC:6860","10p11.23"
"DCHS1","Approved symbol","DCHS1","dachsous cadherin-related 1","HGNC:13681","11p15.4"
"C5orf45","Previous symbol","MRNIP","MRN complex interacting protein","HGNC:30817","5q35.3"
"RP11-17M16.1","Unmatched","","","",""
"PSRC1","Approved symbol","PSRC1","proline and serine rich coiled-coil 1","HGNC:24472","1p13.3"
"SMARCAD1","Approved symbol","SMARCAD1","SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1","HGNC:18398","4q22.3"
"SPAG17","Approved symbol","SPAG17","sperm associated antigen 17","HGNC:26620","1p12"
"RNF43","Approved symbol","RNF43","ring finger protein 43","HGNC:18505","17q22"
"DHX16","Approved symbol","DHX16","DEAH-box helicase 16","HGNC:2739","6p21.33"
"CCT8","Approved symbol","CCT8","chaperonin containing TCP1 subunit 8","HGNC:1623","21q21.3"
"ZCCHC2","Approved symbol","ZCCHC2","zinc finger CCHC-type containing 2","HGNC:22916","18q21.33"
"PCIF1","Approved symbol","PCIF1","phosphorylated CTD interacting factor 1","HGNC:16200","20q13.12"
"PRPF4","Approved symbol","PRPF4","pre-mRNA splicing tri-snRNP complex factor PRPF4","HGNC:17349","9q32"
"PTPN1","Approved symbol","PTPN1","protein tyrosine phosphatase non-receptor type 1","HGNC:9642","20q13.13"
"ATP6V1C2","Approved symbol","ATP6V1C2","ATPase H+ transporting V1 subunit C2","HGNC:18264","2p25.1"
"YWHAE","Approved symbol","YWHAE","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon","HGNC:12851","17p13.3"
"FSCN1","Approved symbol","FSCN1","fascin actin-bundling protein 1","HGNC:11148","7p22.1"
"HNF1B","Approved symbol","HNF1B","HNF1 homeobox B","HGNC:11630","17q12"
"TECPR1","Approved symbol","TECPR1","tectonin beta-propeller repeat containing 1","HGNC:22214","7q21.3"
"WNT5B","Approved symbol","WNT5B","Wnt family member 5B","HGNC:16265","12p13.33"
"EYA3","Approved symbol","EYA3","EYA transcriptional coactivator and phosphatase 3","HGNC:3521","1p35.3"
"SPRED1","Approved symbol","SPRED1","sprouty related EVH1 domain containing 1","HGNC:20249","15q14"
"CPSF3","Approved symbol","CPSF3","cleavage and polyadenylation specific factor 3","HGNC:2326","2p25.1"
"MEF2D","Approved symbol","MEF2D","myocyte enhancer factor 2D","HGNC:6997","1q22"
"DIP2B","Approved symbol","DIP2B","disco interacting protein 2 homolog B","HGNC:29284","12q13.12"
"ARFIP2","Approved symbol","ARFIP2","ADP ribosylation factor interacting protein 2","HGNC:17160","11p15.4"
"PPP6C","Approved symbol","PPP6C","protein phosphatase 6 catalytic subunit","HGNC:9323","9q33.3"
"PPARG","Approved symbol","PPARG","peroxisome proliferator activated receptor gamma","HGNC:9236","3p25.2"
"TSHZ1","Approved symbol","TSHZ1","teashirt zinc finger homeobox 1","HGNC:10669","18q22.3"
"AC024940.1","Unmatched","","","",""
"SMC6","Approved symbol","SMC6","structural maintenance of chromosomes 6","HGNC:20466","2p24.2"
"LRP2","Approved symbol","LRP2","LDL receptor related protein 2","HGNC:6694","2q31.1"
"KCNJ6","Approved symbol","KCNJ6","potassium inwardly rectifying channel subfamily J member 6","HGNC:6267","21q22.13"
"CHMP4C","Approved symbol","CHMP4C","charged multivesicular body protein 4C","HGNC:30599","8q21.13"
"SPICE1","Approved symbol","SPICE1","spindle and centriole associated protein 1","HGNC:25083","3q13.2"
"HCFC2","Approved symbol","HCFC2","host cell factor C2","HGNC:24972","12q23.3"
"SETD3","Approved symbol","SETD3","SET domain containing 3, actin N3(tau)-histidine methyltransferase","HGNC:20493","14q32.2"
"ERI3","Approved symbol","ERI3","ERI1 exoribonuclease family member 3","HGNC:17276","1p34.1"
"NUFIP2","Approved symbol","NUFIP2","nuclear FMR1 interacting protein 2","HGNC:17634","17q11.2"
"GGNBP2","Approved symbol","GGNBP2","gametogenetin binding protein 2","HGNC:19357","17q12"
"DRG1","Approved symbol","DRG1","developmentally regulated GTP binding protein 1","HGNC:3029","22q12.2"
"ZNF219","Approved symbol","ZNF219","zinc finger protein 219","HGNC:13011","14q11.2"
"HDAC7","Approved symbol","HDAC7","histone deacetylase 7","HGNC:14067","12q13.11"
"WIZ","Approved symbol","WIZ","WIZ zinc finger","HGNC:30917","19p13.12"
"FGFR1OP","Previous symbol","CEP43","centrosomal protein 43","HGNC:17012","6q27"
"REV1","Approved symbol","REV1","REV1 DNA directed polymerase","HGNC:14060","2q11.2"
"B3GAT1","Approved symbol","B3GAT1","beta-1,3-glucuronyltransferase 1","HGNC:921","11q25"
"ATP6V1A","Approved symbol","ATP6V1A","ATPase H+ transporting V1 subunit A","HGNC:851","3q13.31"
"F7","Approved symbol","F7","coagulation factor VII","HGNC:3544","13q34"
"PXDN","Approved symbol","PXDN","peroxidasin","HGNC:14966","2p25.3"
"SLC4A8","Approved symbol","SLC4A8","solute carrier family 4 member 8","HGNC:11034","12q13.13"
"RASAL2","Approved symbol","RASAL2","RAS protein activator like 2","HGNC:9874","1q25.2"
"TAF6","Approved symbol","TAF6","TATA-box binding protein associated factor 6","HGNC:11540","7q22.1"
"SOCS6","Approved symbol","SOCS6","suppressor of cytokine signaling 6","HGNC:16833","18q22.2"
"CDK13","Approved symbol","CDK13","cyclin dependent kinase 13","HGNC:1733","7p14.1"
"KCNH5","Approved symbol","KCNH5","potassium voltage-gated channel subfamily H member 5","HGNC:6254","14q23.2"
"ZNF821","Approved symbol","ZNF821","zinc finger protein 821","HGNC:28043","16q22.2"
"GLG1","Approved symbol","GLG1","golgi glycoprotein 1","HGNC:4316","16q23.1"
"NANOGNB","Approved symbol","NANOGNB","NANOG neighbor homeobox","HGNC:24958","12p13.31"
"SUMO2","Approved symbol","SUMO2","small ubiquitin like modifier 2","HGNC:11125","17q25"
"PIN1","Approved symbol","PIN1","peptidylprolyl cis/trans isomerase, NIMA-interacting 1","HGNC:8988","19p13"
"ACAN","Approved symbol","ACAN","aggrecan","HGNC:319","15q26.1"
"DNAJC8","Approved symbol","DNAJC8","DnaJ heat shock protein family (Hsp40) member C8","HGNC:15470","1p35.3"
"FOXA2","Approved symbol","FOXA2","forkhead box A2","HGNC:5022","20p11.21"
"CAMSAP2","Approved symbol","CAMSAP2","calmodulin regulated spectrin associated protein family member 2","HGNC:29188","1q32.1"
"KIAA0368","Previous symbol","ECPAS","Ecm29 proteasome adaptor and scaffold","HGNC:29020","9q31.3"
"ACTR2","Approved symbol","ACTR2","actin related protein 2","HGNC:169","2p14"
"EMX1","Approved symbol","EMX1","empty spiracles homeobox 1","HGNC:3340","2p13.2"
"MAPK14","Approved symbol","MAPK14","mitogen-activated protein kinase 14","HGNC:6876","6p21.31"
"SIGLEC8","Approved symbol","SIGLEC8","sialic acid binding Ig like lectin 8","HGNC:10877","19q13.33-q13.41"
"SBNO2","Approved symbol","SBNO2","strawberry notch homolog 2","HGNC:29158","19p13.3"
"MAGI1","Approved symbol","MAGI1","membrane associated guanylate kinase, WW and PDZ domain containing 1","HGNC:946","3p14.1"
"MAGI1","Previous symbol","CNKSR3","CNKSR family member 3","HGNC:23034","6q25.2"
"COPS4","Approved symbol","COPS4","COP9 signalosome subunit 4","HGNC:16702","4q21.22"
"NDEL1","Approved symbol","NDEL1","nudE neurodevelopment protein 1 like 1","HGNC:17620","17p13.1"
"DBX1","Approved symbol","DBX1","developing brain homeobox 1","HGNC:33185","11p15.1"
"FNBP4","Approved symbol","FNBP4","formin binding protein 4","HGNC:19752","11p11.2"
"PRKAR2B","Approved symbol","PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta","HGNC:9392","7q22.3"
"SDCCAG8","Approved symbol","SDCCAG8","SHH signaling and ciliogenesis regulator SDCCAG8","HGNC:10671","1q43-q44"
"LIMCH1","Approved symbol","LIMCH1","LIM and calponin homology domains 1","HGNC:29191","4p13"
"ZNF800","Approved symbol","ZNF800","zinc finger protein 800","HGNC:27267","7q31.33"
"DUSP4","Approved symbol","DUSP4","dual specificity phosphatase 4","HGNC:3070","8p12"
"TEAD3","Approved symbol","TEAD3","TEA domain transcription factor 3","HGNC:11716","6p21.31"
"ADAMTS17","Approved symbol","ADAMTS17","ADAM metallopeptidase with thrombospondin type 1 motif 17","HGNC:17109","15q26.3"
"CUX1","Approved symbol","CUX1","cut like homeobox 1","HGNC:2557","7q22.1"
"SEC24B","Approved symbol","SEC24B","SEC24 homolog B, COPII coat complex component","HGNC:10704","4q25"
"JAKMIP1","Approved symbol","JAKMIP1","janus kinase and microtubule interacting protein 1","HGNC:26460","4p16.1"
"SIAH1","Approved symbol","SIAH1","siah E3 ubiquitin protein ligase 1","HGNC:10857","16q12.1"
"SOBP","Approved symbol","SOBP","sine oculis binding protein homolog","HGNC:29256","6q21"
"MAML2","Approved symbol","MAML2","mastermind like transcriptional coactivator 2","HGNC:16259","11q21"
"C9orf173","Previous symbol","STPG3","sperm-tail PG-rich repeat containing 3","HGNC:37285","9q34.3"
"ANKRD61","Approved symbol","ANKRD61","ankyrin repeat domain 61","HGNC:22467","7p22.1"
"PIK3CD","Approved symbol","PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","HGNC:8977","1p36.22"
"HSD3B1","Approved symbol","HSD3B1","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1","HGNC:5217","1p12"
"PDGFA","Approved symbol","PDGFA","platelet derived growth factor subunit A","HGNC:8799","7p22.3"
"HAND2","Approved symbol","HAND2","heart and neural crest derivatives expressed 2","HGNC:4808","4q34.1"
"MED1","Approved symbol","MED1","mediator complex subunit 1","HGNC:9234","17q12"
"TELO2","Approved symbol","TELO2","telomere maintenance 2","HGNC:29099","16p13.3"
"HMGCS1","Approved symbol","HMGCS1","3-hydroxy-3-methylglutaryl-CoA synthase 1","HGNC:5007","5p12"
"RAB3GAP2","Approved symbol","RAB3GAP2","RAB3 GTPase activating non-catalytic protein subunit 2","HGNC:17168","1q41"
"ZC3H4","Approved symbol","ZC3H4","zinc finger CCCH-type containing 4","HGNC:17808","19q13.32"
"GNAI1","Approved symbol","GNAI1","G protein subunit alpha i1","HGNC:4384","7q21.11"
"FOSL2","Approved symbol","FOSL2","FOS like 2, AP-1 transcription factor subunit","HGNC:3798","2p23.2"
"UBN2","Approved symbol","UBN2","ubinuclein 2","HGNC:21931","7q34"
"ARRDC4","Approved symbol","ARRDC4","arrestin domain containing 4","HGNC:28087","15q26.2"
"MMP2","Approved symbol","MMP2","matrix metallopeptidase 2","HGNC:7166","16q12.2"
"RMND1","Approved symbol","RMND1","required for meiotic nuclear division 1 homolog","HGNC:21176","6q25.1"
"AIMP2","Approved symbol","AIMP2","aminoacyl tRNA synthetase complex interacting multifunctional protein 2","HGNC:20609","7p22.1"
"DENND5B","Approved symbol","DENND5B","DENN domain containing 5B","HGNC:28338","12p11.21"
