Gene	pLI Score	Transcript	Splice acceptor variant identified	Splice donor variant identified
NTHL1	0	NM_002528.5	yes	yes
NTRK1	0	NM_001012331.1		yes
NUBPL	0.00001	NM_025152.2	yes	yes
NUS1	0.98117	NM_138459.3	yes	yes
OCA2	0	NM_000275.2	yes	yes
OCLN	0	NM_002538.3		yes
OCRL	0.99999	NM_000276.3	yes	yes
OFD1	0.95968	NM_003611.2		yes
OPA1	0.98636	NM_015560.2	yes	yes
OPHN1	0.99985	NM_002547.2	yes	yes
OPLAH	0	NM_017570.4	yes	yes
OPTN	0	NM_021980.4	yes	
OTOA	0	NM_144672.3	yes	yes
OTOG	0	NM_001277269.1	yes	yes
OTOGL	0	NM_173591.3	yes	yes
OTUD6B	0	NM_016023.3		yes
PAFAH1B1	0.99995	NM_000430.3	yes	yes
PAH	0	NM_000277.1	yes	yes
PAK3	0.98716	NM_002578.3	yes	
PALB2	0	NM_024675.3	yes	yes
PANK2	0	NM_153638.2	yes	
PAX3	0.24063	NM_181457.3	yes	
PAX6	0.99975	NM_000280.3	yes	yes
PBX1	0.99527	NM_002585.3		yes
PCCA	0	NM_000282.3		yes
PCK1	0	NM_002591.3		yes
PCNT	0	NM_006031.5		yes
PDCD10	0.96197	NM_145860.1	yes	yes
PDE6A	0	NM_000440.2		yes
PDE6B	0	NM_000283.3	yes	yes
PDE6C	0	NM_006204.3	yes	yes
PDGFB	0.77006	NM_002608.2	yes	
PDHA1	0.98842	NM_000284.3		yes
PEPD	0	NM_000285.3	yes	
PET100	0.00036	NM_001171155.1	yes	
PEX1	0	NM_000466.2	yes	yes
PEX12	0	NM_000286.2	yes	
PEX19	0.00032	NM_002857.3		yes
PEX5	0.00006	NM_001131025.1		yes
PEX7	0	NM_000288.3		yes
PFKM	0	NM_000289.5		yes
PGAP1	0	NM_024989.3		yes
PHEX	0.99996	NM_000444.4	yes	yes
PHF21A	1	NM_016621.3	yes	yes
PHF6	0.99784	NM_032458.2	yes	
PHF8	0.99785	NM_015107.2		yes
PHIP	1	NM_017934.5	yes	yes
PHKA1	0	NM_002637.3	yes	yes
PHKA2	0.3839	NM_000292.2		yes
PHOX2B	0.93755	NM_003924.3	yes	
PHYH	0	NM_006214.3	yes	
PIEZO2	0	NM_022068.2	yes	yes
PIGL	0	NM_004278.3	yes	
PIGN	0	NM_176787.4	yes	yes
PIGQ	0	NM_004204.3		yes
PIGT	0	NM_015937.5	yes	
PIK3R1	0.99978	NM_181523.2		yes
PINK1	0	NM_032409.2		yes
PKD1	1	NM_001009944.2	yes	yes
PKD2	0.00017	NM_000297.3		yes
PKHD1	0	NM_138694.3	yes	yes
PKLR	0	NM_000298.5		yes
PKP2	0	NM_004572.3	yes	yes
PLA2G6	0	NM_003560.2	yes	yes
PLCB1	0.98337	NM_015192.2		yes
PLEC	0	NM_000445.3	yes	
PLEKHG5	0	NM_020631.4	yes	
PLOD1	0	NM_000302.3	yes	yes
PLOD3	0	NM_001084.4		yes
PLP1	0.92845	NM_000533.3	yes	yes
PLS3	0.98844	NM_005032.6	yes	yes
PMM2	0	NM_000303.2		yes
PMS2	0	NM_000535.5	yes	yes
PNKP	0	NM_007254.2		yes
PNPLA6	0	NM_006702.4		yes
PNPO	0	NM_018129.3	yes	
PNPT1	0.0004	NM_033109.4		yes
POC1A	0	NM_015426.4		yes
POC1B	0	NM_172240.2		yes
POGZ	1	NM_015100.3	yes	yes
POLE	0	NM_006231.2	yes	yes
POLG	0	NM_002693.2	yes	yes
POLR3A	0	NM_007055.3	yes	yes
POLR3B	0	NM_018082.5	yes	yes
POMGNT1	0	NM_017739.3	yes	yes
POMT1	0	NM_007171.3	yes	
POMT2	0	NM_013382.5		yes
POR	0	NM_000941.2	yes	
POT1	0.85343	NM_015450.2	yes	yes
POU1F1	0.04505	NM_000306.2	yes	yes
PPA2	0	NM_176869.2		yes
PPIB	0.00005	NM_000942.4	yes	
PPP3CA	0.99988	NM_000944.4	yes	
PQBP1	0.78935	NM_005710.2		yes
PRCD	0.01602	NM_001077620.2		yes
PRDM16	0.99999	NM_022114.3	yes	
PRDM5	0	NM_018699.2		yes
PRKAR1A	0.99985	NM_002734.3	yes	yes
PRKDC	1	NM_006904.6	yes	
PRKN	0	NM_004562.2	yes	
PRMT7	0	NM_019023.2	yes	yes
PROM1	0	NM_006017.2	yes	
PROS1	0.00047	NM_000313.3	yes	
PRPF31	0.98313	NM_015629.3	yes	yes
PRUNE	0.00915	NM_021222.1	yes	
PSAT1	0	NM_058179.2	yes	
PTCH1	1	NM_000264.3	yes	yes
PTCHD1	0.98224	NM_173495.2	yes	
PTEN	0.25651	NM_000314.4	yes	yes
PTPN11	0.99998	NM_002834.3		yes
PTPRQ	0	NM_001145026.1	yes	yes
PUF60	0.99677	NM_078480.2	yes	yes
PUM1	1	NM_001020658.1	yes	yes
PUS7	0	NM_019042.4		yes
PYCR1	0.0002	NM_006907.2		yes
PYGM	0	NM_005609.2	yes	yes
QRICH1	0.99576	NM_017730.3	yes	
RAB3GAP1	0	NM_012233.2	yes	yes
RAB3GAP2	0.98674	NM_012414.3	yes	
RAD21	0.99701	NM_006265.2		yes
RAD51C	0	NM_058216.1	yes	yes
RAD51D	0	NM_002878.3	yes	yes
RARS2	0	NM_020320.3	yes	yes
RASA1	1	NM_002890.2		yes
RB1	1	NM_000321.2	yes	yes
RBM10	1	NM_005676.4		yes
RECQL	0	NM_002907.3	yes	yes
RECQL4	0	NM_004260.3	yes	yes
REEP1	0.98632	NM_022912.2		yes
RELN	1	NM_005045.3		yes
RET	1	NM_020975.4	yes	
RFT1	0	NM_052859.3		yes
RFX3	1	NM_134428.2		yes
RLBP1	0.00001	NM_000326.4		yes
RMND1	0	NM_017909.2	yes	
RNASEH2B	0	NM_024570.3	yes	yes
RORA	0.40096	NM_134261.2	yes	
RP1L1	0	NM_178857.5		yes
RPE65	0	NM_000329.2	yes	yes
RPGRIP1	0	NM_020366.3		yes
RPL11	0.96088	NM_000975.3	yes	yes
RPL35A	0.89535	NM_000996.2		yes
RPS19	0.92111	NM_001022.3		yes
RPS26	0.84833	NM_001029.3		yes
RPS6KA3	0.99999	NM_004586.2	yes	yes
RRM2B	0.00236	NM_015713.4		yes
RS1	0.95743	NM_000330.3	yes	yes
RSPH1	0	NM_080860.3		yes
RSPO4	0	NM_001029871.3		yes
RTEL1	0	NM_032957.4	yes	
RTN4IP1	0	NM_032730.5		yes
RUNX1	0.65377	NM_001754.4	yes	yes
RUNX2	0.94884	NM_001024630.3	yes	
RYR1	0	NM_000540.2	yes	yes
SALL1	0.99971	NM_002968.2		yes
SBDS	0.00006	NM_016038.2		yes
SBF1	0.99933	NM_002972.2		yes
SCARB2	0.00009	NM_005506.3		yes
SCN1A	1	NM_001165963.1	yes	yes
SCN1B	0.10186	NM_001037.4		yes
SCN2A	1	NM_021007.2	yes	yes
SCN5A	0.91291	NM_198056.2	yes	yes
SCN8A	1	NM_014191.3	yes	yes
SCN9A	0	NM_002977.3	yes	yes
SCNN1A	0	NM_001038.5		yes
SCYL1	0	NM_020680.3	yes	
SDHA	0	NM_004168.2		yes
SDHAF2	0	NM_017841.2	yes	
SDHB	0.00024	NM_003000.2	yes	yes
SDHD	0.33697	NM_003002.2	yes	yes
SEC24D	0	NM_014822.3	yes	yes
SELENON	0	NM_020451.2	yes	
SERAC1	0	NM_032861.3		yes
SERPINF1	0	NM_002615.5		yes
SERPING1	0.96351	NM_000062.2	yes	yes
SET	0.99597	NM_001122821.1	yes	
SETBP1	1	NM_015559.2	yes	
SETD2	1	NM_014159.6	yes	
SETD5	0.99997	NM_001080517.1	yes	yes
SETX	0.95483	NM_015046.5		yes
SGCA	0.00271	NM_000023.2	yes	
SGCD	0.00207	NM_000337.5	yes	
SGCE	0.02376	NM_003919.2	yes	
SH3TC2	0	NM_024577.3	yes	yes
SHANK1	1	NM_016148.2		yes
SHANK3	1	NM_033517.1	yes	yes
SIL1	0.01227	NM_022464.4		yes
SIN3A	1	NM_001145358.1		yes
SKIV2L	0	NM_006929.4		yes
SLC12A1	0	NM_000338.2		yes
SLC12A3	0	NM_000339.2	yes	yes
SLC12A6	0.01138	NM_133647.1	yes	
SLC13A5	0.00051	NM_177550.4	yes	
SLC16A2	0.98828	NM_006517.4		yes
SLC17A5	0	NM_012434.4		yes
SLC17A8	0.00132	NM_139319.2		yes
SLC19A3	0.1039	NM_025243.3		yes
SLC20A2	0.96545	NM_006749.4	yes	
SLC22A5	0	NM_003060.3	yes	yes
SLC25A38	0.00001	NM_017875.2		yes
SLC26A2	0	NM_000112.3	yes	yes
SLC26A4	0	NM_000441.1	yes	yes
SLC29A3	0	NM_018344.5		yes
SLC2A1	0.9941	NM_006516.2	yes	yes
SLC2A2	0	NM_000340.1		yes
SLC34A1	0	NM_003052.4		yes
SLC34A3	0	NM_080877.2		yes
SLC46A1	0.02186	NM_080669.4	yes	
SLC4A1	0.84602	NM_000342.3		yes
SLC52A2	0.00248	NM_024531.4	yes	
SLC52A3	0.01935	NM_033409.3		yes
SLC6A1	0.99993	NM_003042.3	yes	yes
SLC6A19	0	NM_001003841.2	yes	yes
SLC6A3	0.99758	NM_001044.4		yes
SLC6A5	0	NM_004211.3		yes
SLC6A8	0.99778	NM_005629.3	yes	yes
SLC7A7	0	NM_001126106.2		yes
SLC7A9	0	NM_014270.4	yes	
SLC9A6	0.99833	NM_006359.2		yes
SLCO2A1	0	NM_005630.2		yes
SLX4	0	NM_032444.2		yes
SMAD2	0.99661	NM_005901.5		yes
SMAD3	0.79796	NM_005902.3	yes	
SMAD4	0.99881	NM_005359.5	yes	
SMARCA4	1	NM_001128849.1	yes	yes
SMARCB1	0.9971	NM_003073.3	yes	yes
SMARCC2	1	NM_003075.3	yes	yes
SMARCE1	0.99915	NM_003079.4		yes
SMC1A	1	NM_006306.2		yes
SMPD1	0	NM_000543.4	yes	
SOX10	0.99166	NM_006941.3	yes	yes
SOX5	0.99995	NM_006940.4	yes	
SPAST	0.99939	NM_014946.3	yes	
SPATA5	0	NM_145207.2		yes
SPATA7	0	NM_018418.4	yes	
SPG11	0	NM_025137.3	yes	yes
SPG20	0	NM_015087.4	yes	
SPG21	0.00066	NM_016630.6		yes
SPG7	0	NM_003119.2	yes	yes
SPINK5	0	NM_006846.3	yes	yes
SPTA1	0	NM_003126.2	yes	yes
SPTB	1	NM_000347.5	yes	
SQSTM1	0.00086	NM_003900.4		yes
SRCAP	1	NM_006662.2	yes	
SRD5A2	0	NM_000348.3	yes	
SSR4	0.87499	NM_001204526.1		yes
ST3GAL5	0.00131	NM_003896.3		yes
STAG1	1	NM_005862.2		yes
STAG2	1	NM_001042749.2	yes	
STIL	0.20105	NM_003035.2	yes	
STK11	0.9934	NM_000455.4	yes	yes
STRA6	0	NM_022369.3		yes
STRC	0	NM_153700.2		yes
STX1B	0.98766	NM_052874.3	yes	yes
STXBP1	1	NM_003165.3	yes	yes
STXBP2	0	NM_006949.3	yes	
SUCLA2	0.00235	NM_003850.2		yes
SUFU	0.99992	NM_016169.3		yes
SURF1	0	NM_003172.2	yes	yes
SUZ12	0.99998	NM_015355.2		yes
SYN1	0.99216	NM_133499.2		yes
SYNCRIP	0.99939	NM_001159673.1	yes	yes
SYNE1	0	NM_033071.3	yes	yes
SYNGAP1	1	NM_006772.2	yes	yes
SYNJ1	0.42709	NM_003895.3		yes
SYT2	0.98133	NM_177402.4	yes	yes
SZT2	0	NM_015284.3	yes	yes
TAB2	0.99998	NM_015093.4		yes
TANC2	1	NM_025185.3		yes
TANGO2	0.00015	NM_152906.4		yes
TAZ	0.72591	NM_000116.3		yes
TBC1D23	0.00002	NM_001199198.2		yes
TBC1D24	0	NM_001199107.1		yes
TBCD	0	NM_005993.4	yes	yes
TBCE	0	NM_003193.4		yes
TBCK	0	NM_001163435.2	yes	yes
TBL1XR1	0.99995	NM_024665.4	yes	yes
TBX1	0.83661	NM_080647.1		yes
TBX3	0.98907	NM_005996.3		yes
TBX4	0.5048	NM_018488.2		yes
TBX5	0.99954	NM_000192.3	yes	yes
TCF12	0.67602	NM_207036.1	yes	yes
TCF20	1	NM_005650.1	yes	yes
TCF4	0.99981	NM_001083962.1	yes	yes
TCIRG1	0	NM_006019.3	yes	yes
TCOF1	0.9541	NM_001135243.1	yes	yes
TCTN1	0	NM_001082538.2	yes	yes
TCTN2	0	NM_024809.4	yes	
TDP2	0	NM_016614.2		yes
TECTA	0	NM_005422.2		yes
TELO2	0	NM_016111.3		yes
TFAP2B	0.99023	NM_003221.3		yes
TGFB2	0.99905	NM_003238.3		yes
TGM1	0	NM_000359.2	yes	yes
TGM5	0	NM_201631.3	yes	yes
TJP2	0	NM_004817.3	yes	yes
TLK2	1	NM_006852.3	yes	yes
TMC1	0	NM_138691.2	yes	yes
TMEM237	0	NM_001044385.2		yes
TMEM38B	0.0195	NM_018112.2		yes
TMEM67	0	NM_153704.5	yes	
TMEM70	0.02929	NM_017866.5	yes	
TMIE	0.00008	NM_147196.2		yes
TMLHE	0.00008	NM_018196.3	yes	
TMPRSS3	0	NM_024022.2	yes	
TMTC3	0.00005	NM_181783.3	yes	
TNNT1	0	NM_003283.4		yes
TNRC6B	1	NM_001162501.1	yes	yes
TNXB	0.01855	NM_019105.6	yes	yes
TOP3A	0	NM_004618.4		yes
TOR1AIP1	0	NM_001267578.1	yes	yes
TP53	0.53235	NM_000546.4	yes	yes
TPK1	0.09146	NM_022445.3		yes
TPM3	0.00665	NM_152263.2	yes	
TPP1	0	NM_000391.3	yes	
TRAPPC2	0.00241	NM_001011658.3	yes	
TRAPPC9	0	NM_031466.5		yes
TRDN	0	NM_006073.3		yes
TRIM28	1	NM_005762.2	yes	
TRIO	1	NM_007118.2	yes	yes
TRIOBP	0	NM_001039141.2	yes	
TRIP11	0	NM_004239.3	yes	
TRIP12	1	NM_004238.2	yes	yes
TRIT1	0	NM_017646.4	yes	
TRNT1	0.00016	NM_182916.2	yes	yes
TRPM1	0	NM_002420.5		yes
TRPM6	0	NM_017662.4		yes
TSC1	1	NM_000368.4	yes	yes
TSC2	1	NM_000548.3	yes	yes
TSEN54	0	NM_207346.2	yes	yes
TSPAN12	0.69473	NM_012338.3	yes	
TSPEAR	0	NM_144991.2	yes	yes
TTC37	0	NM_014639.3		yes
TTC7A	0	NM_020458.3	yes	
TTLL5	0	NM_015072.4		yes
TTN	0	NM_001256850.1	yes	yes
TUFM	0.00418	NM_003321.4	yes	
TUSC3	0	NM_006765.2	yes	
TYMP	0.00012	NM_001953.3	yes	yes
TYR	0	NM_000372.4	yes	yes
UBA2	0.99851	NM_005499.2	yes	yes
UBE2A	0.815	NM_003336.2		yes
UBE3A	0.9998	NM_130838.1	yes	yes
UMPS	0.00011	NM_000373.3		yes
UNC13D	0	NM_199242.2	yes	yes
UNC80	0.05231	NM_032504.1		yes
UPB1	0	NM_016327.2	yes	yes
USH1C	0	NM_005709.3	yes	yes
USH2A	0	NM_206933.2	yes	yes
USP18	0.0015	NM_017414.3		yes
USP7	1	NM_001286457.1	yes	yes
USP9X	1	NM_001039590.2	yes	yes
UVSSA	0	NM_020894.2	yes	
VARS	0	NM_006295.2	yes	yes
VARS2	0	NM_001167734.1	yes	yes
VHL	0.07952	NM_000551.3	yes	
VPS13A	0	NM_033305.2	yes	yes
VPS13B	0	NM_017890.3	yes	yes
VPS13C	0	NM_020821.2	yes	
VRK1	0.00211	NM_003384.2		yes
VWF	0	NM_000552.3		yes
WAC	1	NM_016628.4	yes	yes
WAS	0.99901	NM_000377.2		yes
WDFY3	1	NM_014991.4		yes
WDR26	1	NM_025160.6	yes	
WDR35	0	NM_001006657.1	yes	
WDR45	0.99145	NM_007075.3	yes	yes
WDR62	0	NM_001083961.1	yes	yes
WFS1	0	NM_006005.3		yes
WHSC1	1	NM_133330.2	yes	yes
WNT1	0.3263	NM_005430.3		yes
WRN	0	NM_000553.4		yes
WT1	0.99648	NM_024426.4		yes
WWOX	0	NM_016373.2	yes	yes
XPC	0	NM_004628.4	yes	yes
XRCC4	0	NM_022406.2	yes	
ZBTB20	0.97382	NM_001164342.2	yes	
ZC4H2	0.90752	NM_018684.3		yes
ZEB2	1	NM_014795.3		yes
ZFYVE26	0	NM_015346.3		yes
ZIC2	0.97362	NM_007129.3	yes	yes
ZMIZ1	0.99937	NM_020338.3	yes	yes
ZMPSTE24	0	NM_005857.4		yes
ZMYM2	0.66648	NM_003453.4	yes	yes
ZMYND11	1	NM_006624.5	yes	
